NAME,total_households,no_vehicle_households,state_fips,county_fips,tract_fips,GEOID,pct_no_vehicle
Census Tract 235.02; Bronx County; New York,1600,1239,36,005,023502,36005023502,0.774375
Census Tract 236; Bronx County; New York,560,268,36,005,023600,36005023600,0.4785714285714286
Census Tract 237.02; Bronx County; New York,327,192,36,005,023702,36005023702,0.5871559633027523
Census Tract 237.03; Bronx County; New York,1809,1609,36,005,023703,36005023703,0.8894416804864566
Census Tract 237.04; Bronx County; New York,1409,1150,36,005,023704,36005023704,0.8161816891412349
Census Tract 238; Bronx County; New York,751,269,36,005,023800,36005023800,0.3581890812250333
Census Tract 239; Bronx County; New York,2589,2044,36,005,023900,36005023900,0.7894940131324836
Census Tract 240; Bronx County; New York,1350,466,36,005,024000,36005024000,0.3451851851851852
Census Tract 241; Bronx County; New York,2371,1912,36,005,024100,36005024100,0.8064107971320118
Census Tract 243; Bronx County; New York,1994,1525,36,005,024300,36005024300,0.7647943831494484
Census Tract 244; Bronx County; New York,863,250,36,005,024400,36005024400,0.28968713789107764
Census Tract 245.01; Bronx County; New York,1514,989,36,005,024501,36005024501,0.6532364597093792
Census Tract 245.02; Bronx County; New York,1224,859,36,005,024502,36005024502,0.701797385620915
Census Tract 246; Bronx County; New York,791,209,36,005,024600,36005024600,0.26422250316055623
Census Tract 247; Bronx County; New York,753,447,36,005,024700,36005024700,0.5936254980079682
Census Tract 248; Bronx County; New York,1137,536,36,005,024800,36005024800,0.4714160070360598
Census Tract 249; Bronx County; New York,0,0,36,005,024900,36005024900,
Census Tract 250; Bronx County; New York,934,368,36,005,025000,36005025000,0.39400428265524623
Census Tract 251; Bronx County; New York,2277,1570,36,005,025100,36005025100,0.6895037329819939
Census Tract 252; Bronx County; New York,906,201,36,005,025200,36005025200,0.22185430463576158
Census Tract 253; Bronx County; New York,1885,1367,36,005,025300,36005025300,0.7251989389920425
Census Tract 254; Bronx County; New York,770,243,36,005,025400,36005025400,0.3155844155844156
Census Tract 255; Bronx County; New York,2412,1780,36,005,025500,36005025500,0.7379767827529021
Census Tract 256; Bronx County; New York,620,202,36,005,025600,36005025600,0.3258064516129032
Census Tract 257; Bronx County; New York,683,423,36,005,025700,36005025700,0.6193265007320644
Census Tract 261; Bronx County; New York,1102,768,36,005,026100,36005026100,0.6969147005444646
Census Tract 263; Bronx County; New York,2210,1615,36,005,026300,36005026300,0.7307692307692307
Census Tract 264; Bronx County; New York,2196,449,36,005,026400,36005026400,0.20446265938069216
Census Tract 265; Bronx County; New York,2292,1500,36,005,026500,36005026500,0.6544502617801047
Census Tract 266.01; Bronx County; New York,1322,533,36,005,026601,36005026601,0.4031770045385779
Census Tract 266.02; Bronx County; New York,2441,1511,36,005,026602,36005026602,0.6190086030315445
Census Tract 267.01; Bronx County; New York,1264,922,36,005,026701,36005026701,0.7294303797468354
Census Tract 267.02; Bronx County; New York,2694,1589,36,005,026702,36005026702,0.5898292501855976
Census Tract 269; Bronx County; New York,1823,1283,36,005,026900,36005026900,0.7037849698299506
Census Tract 273; Bronx County; New York,2925,2044,36,005,027300,36005027300,0.6988034188034188
Census Tract 274.01; Bronx County; New York,1755,236,36,005,027401,36005027401,0.13447293447293449
Census Tract 274.02; Bronx County; New York,1253,91,36,005,027402,36005027402,0.07262569832402235
Census Tract 276; Bronx County; New York,23,20,36,005,027600,36005027600,0.8695652173913043
Census Tract 277; Bronx County; New York,1781,1337,36,005,027700,36005027700,0.7507018528916339
Census Tract 279; Bronx County; New York,2866,1472,36,005,027900,36005027900,0.5136078157711096
Census Tract 281; Bronx County; New York,1676,1008,36,005,028100,36005028100,0.6014319809069213
Census Tract 283; Bronx County; New York,1075,594,36,005,028300,36005028300,0.5525581395348838
Census Tract 284; Bronx County; New York,0,0,36,005,028400,36005028400,
Census Tract 285; Bronx County; New York,1780,723,36,005,028500,36005028500,0.4061797752808989
Census Tract 286; Bronx County; New York,466,72,36,005,028600,36005028600,0.15450643776824036
Census Tract 287; Bronx County; New York,1280,687,36,005,028700,36005028700,0.53671875
Census Tract 288; Bronx County; New York,1016,170,36,005,028800,36005028800,0.1673228346456693
Census Tract 289; Bronx County; New York,1956,1239,36,005,028900,36005028900,0.6334355828220859
Census Tract 293.01; Bronx County; New York,859,142,36,005,029301,36005029301,0.16530849825378346
Census Tract 293.02; Bronx County; New York,2582,564,36,005,029302,36005029302,0.21843532145623548
Census Tract 295; Bronx County; New York,2078,811,36,005,029500,36005029500,0.390279114533205
Census Tract 296; Bronx County; New York,881,388,36,005,029600,36005029600,0.44040862656072643
Census Tract 297; Bronx County; New York,1816,634,36,005,029700,36005029700,0.3491189427312775
Census Tract 300; Bronx County; New York,2464,741,36,005,030000,36005030000,0.3007305194805195
Census Tract 301; Bronx County; New York,657,213,36,005,030100,36005030100,0.3242009132420091
Census Tract 302.01; Bronx County; New York,1575,754,36,005,030201,36005030201,0.47873015873015873
Census Tract 302.02; Bronx County; New York,2542,1207,36,005,030202,36005030202,0.47482297403619195
Census Tract 307.01; Bronx County; New York,2326,566,36,005,030701,36005030701,0.24333619948409285
